term,crn,note,course,title,xlist,xlist_crn,instructor,group,theme,graduate_level,year_long,subject,status,units,quarter,duration,no_prereq,days,time,location,meetings,seats_available,reserved_seats,instruction_mode
Spring 2024,31000,,BIOL 358 S01,Microbiology,[],[],"Mellies, Jay","['3', '3+']",[],,N,Biology,active,1,,1 semester,N,"['MWF', 'Th']","['10:00-10:50', '13:40-17:30']","['BIOL 19', 'BIOL 107']","[['Monday', '1000', '1050', 'BIOL 19'], ['Wednesday', '1000', '1050', 'BIOL 19'], ['Friday', '1000', '1050', 'BIOL 19'], ['Thursday', '1340', '1730', 'BIOL 107']]",,N,In-Person Instruction Only
Spring 2024,30247,,CSMA 470 Y,Thesis (Math/Computer Sci),[],[],Staff,[],[],,Y,Computer Science/Mathematics,active,1,,Year-long,N,[],['TBD'],[],[],"any students, new students",N,N/A
Spring 2024,31170,"This course is for students who are participating in the SEEDS Community Engagement Internship Program for CE credit, permission will be granted by the SEEDS program director once students complete the registration process for the program. For more information about Community Engagement Credit, visit the SEEDS web page at:  https://www.reed.edu/seeds/community-engagement-internship-program/community-engagement-credit-program.html or email seedsinterns@reed.edu. Students may only apply 2 credits from 200-, 300-, and 400-level PE courses toward the 6-credit PE requirement.",PE 303 CME Qtr 1,Community Engagement,[],[],"Tsang, Shishei",[],[],,N,Physical Education,active,0,1,1st quarter,N,[],['TBD'],[],[],"any students, new students",N,In-Person Instruction Only
Spring 2024,30364,,SOSP 470 Y,Thesis (Sociology/Spanish),[],[],Staff,[],[],,Y,Sociology/Spanish,active,1,,Year-long,N,[],['TBD'],[],[],"any students, new students",N,N/A
Spring 2024,31151,,AREN 470 Y,Thesis(Art-English),[],[],Staff,[],[],,Y,Art/English,active,1,,Year-long,N,[],['TBD'],[],[],"any students, new students",N,N/A
Spring 2024,30380,,CRES 470 Y,Thesis (Comp Race & Ethn),[],[],Staff,[],[],,Y,Comp Race & Ethnicity Studies,active,1,,Year-long,N,[],['TBD'],[],[],"any students, new students",N,N/A
Spring 2024,30954,,SPAN 366 S,Lorca: Theater and Poetry,[],[],"Drumm, Elizabeth",['1'],[],,N,Spanish,active,1,,1 semester,N,['TuTh'],['10:30-11:50'],['ELIOT 405'],"[['Tuesday', '1030', '1150', 'ELIOT 405'], ['Thursday', '1030', '1150', 'ELIOT 405']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30223,,THEA 100 S02,Theatre Lab,[],[],"Ksander, Peter",['1'],[],,N,Theatre,active,0.5,,1 semester,Y,[],['TBD'],[],[],"any students, new students",N,In-Person Instruction Only
Spring 2024,30928,,PHIL 207 S,Persons and their Lives,[],[],"Arkonovich, Steve",['1'],[],,N,Philosophy,active,1,,1 semester,Y,['TuTh'],['09:00-10:20'],['VOLLUM 120'],"[['Tuesday', '0900', '1020', 'VOLLUM 120'], ['Thursday', '0900', '1020', 'VOLLUM 120']]",,Y,In-Person Instruction Only
Spring 2024,30093,,PHYS 442 S,Quantum Mechanics II,[],[],"Franklin, Joel",['3'],[],,N,Physics,active,1,,1 semester,N,['MWF'],['10:00-10:50'],['PHYSIC 240A'],"[['Monday', '1000', '1050', 'PHYSIC 240A'], ['Wednesday', '1000', '1050', 'PHYSIC 240A'], ['Friday', '1000', '1050', 'PHYSIC 240A']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30916,,LING 312 S,Topics in Linguistic Analysis,[],[],"Todorovic, Neda",['2'],[],,N,Linguistics,active,1,,1 semester,N,['TuTh'],['10:30-11:50'],['VOLLUM 228'],"[['Tuesday', '1030', '1150', 'VOLLUM 228'], ['Thursday', '1030', '1150', 'VOLLUM 228']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30372,,PSY 217 S,Neuroscience of Consciousness,[],[],"Pitts, Michael",['3'],[],,N,Psychology,active,1,,1 semester,Y,['TuTh'],['15:10-16:30'],['PSYCH 103'],"[['Tuesday', '1510', '1630', 'PSYCH 103'], ['Thursday', '1510', '1630', 'PSYCH 103']]",,Y,In-Person Instruction Only
Spring 2024,30631,,REL 123 S,Islam in the Modern World,[],[],"Mixon, Candace",['2'],[],,N,Religion,active,1,,1 semester,Y,['MWF'],['13:10-14:00'],['ETC 208'],"[['Monday', '1310', '1400', 'ETC 208'], ['Wednesday', '1310', '1400', 'ETC 208'], ['Friday', '1310', '1400', 'ETC 208']]","any students, new students",Y,In-Person Instruction Only
Spring 2024,30872,,LIT 209 S,Introduction to Film Studies,[],[],"Grinberg, Marat",['1'],['Film and Media Studies'],,N,Lit - Literature,active,1,,1 semester,Y,['MW'],['13:10-14:30'],['VOLLUM 126'],"[['Monday', '1310', '1430', 'VOLLUM 126'], ['Wednesday', '1310', '1430', 'VOLLUM 126']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30309,Open to firstyear students without prerequisite.,SOC 211 S01,Introduction to Sociology,[],[],"Ozkan, Yalcin",['2'],[],,N,Sociology,active,1,,1 semester,Y,['MW'],['13:10-14:30'],['VILASE ASPEN MR'],"[['Monday', '1310', '1430', 'VILASE ASPEN MR'], ['Wednesday', '1310', '1430', 'VILASE ASPEN MR']]",,Y,In-Person Instruction Only
Spring 2024,30948,Open to firstyear students without prerequisite.,SOC 211 S04,Introduction to Sociology,[],[],"Hrycak, Alexandra",['2'],[],,N,Sociology,active,1,,1 semester,Y,['TuTh'],['13:40-15:00'],['ETC 205'],"[['Tuesday', '1340', '1500', 'ETC 205'], ['Thursday', '1340', '1500', 'ETC 205']]","any students, new students",Y,In-Person Instruction Only
Spring 2024,30926,,MUS 210 S,Music Theory and Practice II,[],[],"Bunch, Kenji",['1'],[],,N,Music,active,1,,1 semester,N,['MW'],['13:10-14:30'],['PERF 332'],"[['Monday', '1310', '1430', 'PERF 332'], ['Wednesday', '1310', '1430', 'PERF 332']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31143,,MUS 316 S,Songwriting & Storytelling,[],[],"Yoon, Bora",['1'],[],,N,Music,active,1,,1 semester,N,['M'],['18:10-21:00'],['PERF 332'],"[['Monday', '1810', '2100', 'PERF 332']]",,N,In-Person Instruction Only
Spring 2024,30914,,HIST 411 S,JSem:Writing Hist 16thC Mexico,[],[],"Garrett, David",['2'],[],,N,History,active,1,,1 semester,N,['TuTh'],['15:10-16:30'],['VOLLUM 309'],"[['Tuesday', '1510', '1630', 'VOLLUM 309'], ['Thursday', '1510', '1630', 'VOLLUM 309']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31021,,HUM 110 Y07,Introduction to the Humanities,[],[],"Kroll, Christian",[],[],,Y,Humanities,active,1.5,,Year-long,Y,"['MWF', 'MWF']","['09:00-09:50', '11:00-11:50']","['VOLLUM VLH', 'VOLLUM 228']","[['Monday', '0900', '0950', 'VOLLUM VLH'], ['Wednesday', '0900', '0950', 'VOLLUM VLH'], ['Friday', '0900', '0950', 'VOLLUM VLH'], ['Monday', '1100', '1150', 'VOLLUM 228'], ['Wednesday', '1100', '1150', 'VOLLUM 228'], ['Friday', '1100', '1150', 'VOLLUM 228']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31022,,HUM 110 Y08,Introduction to the Humanities,[],[],"Matsushita, Liz",[],[],,Y,Humanities,active,1.5,,Year-long,Y,"['MWF', 'MWF']","['09:00-09:50', '12:00-12:50']","['VOLLUM VLH', 'ELIOT 216']","[['Monday', '0900', '0950', 'VOLLUM VLH'], ['Wednesday', '0900', '0950', 'VOLLUM VLH'], ['Friday', '0900', '0950', 'VOLLUM VLH'], ['Monday', '1200', '1250', 'ELIOT 216'], ['Wednesday', '1200', '1250', 'ELIOT 216'], ['Friday', '1200', '1250', 'ELIOT 216']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31024,,HUM 110 Y10,Introduction to the Humanities,[],[],"Minardi, Margot",[],[],,Y,Humanities,active,1.5,,Year-long,Y,"['MWF', 'MWF']","['09:00-09:50', '11:00-11:50']","['VOLLUM VLH', 'LIB 203']","[['Monday', '0900', '0950', 'VOLLUM VLH'], ['Wednesday', '0900', '0950', 'VOLLUM VLH'], ['Friday', '0900', '0950', 'VOLLUM VLH'], ['Monday', '1100', '1150', 'LIB 203'], ['Wednesday', '1100', '1150', 'LIB 203'], ['Friday', '1100', '1150', 'LIB 203']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31028,,HUM 110 Y14,Introduction to the Humanities,[],[],"Scharle, Meg",[],[],,Y,Humanities,active,1.5,,Year-long,Y,"['MWF', 'MW']","['09:00-09:50', '13:10-14:30']","['VOLLUM VLH', 'VOLLUM 134']","[['Monday', '0900', '0950', 'VOLLUM VLH'], ['Wednesday', '0900', '0950', 'VOLLUM VLH'], ['Friday', '0900', '0950', 'VOLLUM VLH'], ['Monday', '1310', '1430', 'VOLLUM 134'], ['Wednesday', '1310', '1430', 'VOLLUM 134']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30599,,LING 212 S01,Sociolinguistic Patterns,[],[],"Becker, Kara",['2'],[],,N,Linguistics,active,1,,1 semester,Y,['TuTh'],['09:00-10:20'],['VOLLUM 116'],"[['Tuesday', '0900', '1020', 'VOLLUM 116'], ['Thursday', '0900', '1020', 'VOLLUM 116']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30600,,LING 212 S02,Sociolinguistic Patterns,[],[],"Becker, Kara",['2'],[],,N,Linguistics,active,1,,1 semester,Y,['TuTh'],['10:30-11:50'],['VOLLUM 116'],"[['Tuesday', '1030', '1150', 'VOLLUM 116'], ['Thursday', '1030', '1150', 'VOLLUM 116']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30084,,MATH 112 S04,Intro to Analysis,[],[],"Robinson, Marcus",['3'],[],,N,Mathematics,active,1,,1 semester,N,['MWF'],['12:00-12:50'],['LIB 204'],"[['Monday', '1200', '1250', 'LIB 204'], ['Wednesday', '1200', '1250', 'LIB 204'], ['Friday', '1200', '1250', 'LIB 204']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30189,,MATH 201 S02,Linear Algebra,[],[],"Pommersheim, Jamie",['3'],[],,N,Mathematics,active,1,,1 semester,N,['TuTh'],['13:40-15:00'],['LIB 204'],"[['Tuesday', '1340', '1500', 'LIB 204'], ['Thursday', '1340', '1500', 'LIB 204']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31090,,PSY 373 S02,Learning,[],[],"Jensen, Greg","['3', '3+']",[],,N,Psychology,active,1,,1 semester,N,"['MWF', 'WF']","['10:00-10:50', '12:00-12:50']","['PSYCH 139', 'PSYCH 139']","[['Monday', '1000', '1050', 'PSYCH 139'], ['Wednesday', '1000', '1050', 'PSYCH 139'], ['Friday', '1000', '1050', 'PSYCH 139'], ['Wednesday', '1200', '1250', 'PSYCH 139'], ['Friday', '1200', '1250', 'PSYCH 139']]",,N,In-Person Instruction Only
Spring 2024,30673,,MUS 108 SCR,Jazz Ensemble,['MUS 108'],['30674'],"Bunch, Monica Ohuchi",[],[],,N,Music,active,0.5,,1 semester,Y,['M'],['17:10-20:00'],['PERF 320'],"[['Monday', '1710', '2000', 'PERF 320']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31169,,PSY 326 S,Altruism and Self-Interest,[],[],"Safin, Vasiliy",['3'],[],,N,Psychology,active,1,,1 semester,N,['MW'],['14:40-16:00'],['LIB 340'],"[['Monday', '1440', '1600', 'LIB 340'], ['Wednesday', '1440', '1600', 'LIB 340']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30863,,CHIN 112 S01,Beginning Chinese II,[],[],"Wu, Jinhui",['1'],['Chinese Studies'],,N,Chinese,active,1,,1 semester,N,['MTuWThF'],['11:00-11:50'],['ELIOT 126'],"[['Monday', '1100', '1150', 'ELIOT 126'], ['Tuesday', '1100', '1150', 'ELIOT 126'], ['Wednesday', '1100', '1150', 'ELIOT 126'], ['Thursday', '1100', '1150', 'ELIOT 126'], ['Friday', '1100', '1150', 'ELIOT 126']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30618,,PSY 348 S01,Statistical AnalysisPsychology,[],[],"Anderson, Kris",['3'],[],,N,Psychology,active,1,,1 semester,N,"['MWF', 'Tu']","['11:00-11:50', '12:00-12:50']","['PSYCH 105', 'PSYCH 103']","[['Monday', '1100', '1150', 'PSYCH 105'], ['Wednesday', '1100', '1150', 'PSYCH 105'], ['Friday', '1100', '1150', 'PSYCH 105'], ['Tuesday', '1200', '1250', 'PSYCH 103']]",,N,In-Person Instruction Only
Spring 2024,30672,,MUS 107 SNC,Collegium Musicum,['MUS 107'],['30671'],"Mallis, Natalie",[],[],,N,Music,active,0,,1 semester,N,['TuTh'],['16:40-18:00'],['PERF 320'],"[['Tuesday', '1640', '1800', 'PERF 320'], ['Thursday', '1640', '1800', 'PERF 320']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31134,,MUS 106 SNC,Treble Voices Ensemble,['MUS 106'],['31133'],Staff,[],[],,N,Music,cancelled,,,1 semester,N,,,,,,In-Person Instruction Only
Spring 2024,31162,,THEA 237 S,Reimagining Classics,[],[],"Tamimi, Jenna",['1'],[],,N,Theatre,active,1,,1 semester,Y,['TuTh'],['12:00-13:20'],['PERF 131'],"[['Tuesday', '1200', '1320', 'PERF 131'], ['Thursday', '1200', '1320', 'PERF 131']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31403,,ECON 358 S,Urban Economics,[],[],"Rork, Jon",['2'],['Environmental Studies'],,N,Economics,active,1,,1 semester,N,['MWF'],['13:40-14:30'],['VOLLUM 116'],"[['Monday', '1340', '1430', 'VOLLUM 116'], ['Wednesday', '1340', '1430', 'VOLLUM 116'], ['Friday', '1340', '1430', 'VOLLUM 116']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30960,"DANC 313 is offered as either academic credit (one-half or one unit), or as PE credit, and may not be taken for both.",DANC 313 S01,Contemporary Dance V,['DANC 313'],['30961'],"Parsons-Akinjiola, Oluyinka",['1'],[],,N,Dance,active,0.5,,1 semester,N,['MW'],['13:10-14:30'],['PERF 240'],"[['Monday', '1310', '1430', 'PERF 240'], ['Wednesday', '1310', '1430', 'PERF 240']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30666,"Students taking private music instruction must complete the ""Music Schedule Form"" found on the Music department's web page.",MUS 101 SNC,Private Instruction,[],[],"Bunch, Monica Ohuchi",[],[],,N,Music,active,0,,1 semester,N,[],['TBD'],[],[],"any students, new students",N,In-Person Instruction Only
Spring 2024,30986,,BIOL 102 S01,Topics in Biology II,[],[],"Cerveny, Kara","['3', '3+']",[],,N,Biology,active,1,,1 semester,Y,"['TuTh', 'Tu']","['09:00-10:20', '13:10-17:00']","['VOLLUM VLH', 'BIOL 5']","[['Tuesday', '0900', '1020', 'VOLLUM VLH'], ['Thursday', '0900', '1020', 'VOLLUM VLH'], ['Tuesday', '1310', '1700', 'BIOL 5']]","any students, new students",Y,In-Person Instruction Only
Spring 2024,31137,,ICPS 302 S,Special Topics in ICPS,['POL 352'],['31138'],"Montgomery, Alex",['2'],[],,N,International Policy Studies,active,0.5,,1 semester,N,['W'],['13:10-14:30'],['VOLLUM 234'],"[['Wednesday', '1310', '1430', 'VOLLUM 234']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30936,,REL 151 S02,Introduction to Judaism,[],[],Staff,['2'],['Comp Race & Ethnicity Studies'],,N,Religion,cancelled,,,1 semester,Y,,,,,,In-Person Instruction Only
Spring 2024,30908,,CRES 385 S01,"Race, Ethnicity and Empire",['HIST 315'],['30907'],"Natarajan, Radhika",['2'],['Comp Race & Ethnicity Studies'],,N,Comp Race & Ethnicity Studies,active,1,,1 semester,N,['MW'],['13:10-14:30'],['ELIOT 103'],"[['Monday', '1310', '1430', 'ELIOT 103'], ['Wednesday', '1310', '1430', 'ELIOT 103']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31032,"Although the lecture is provided asynchronously online, the conferences are only offered in person. In-person attendance is required.",HUM 212 S01,The Birth of the Modern II,[],[],"Martínez, Lucía","['1', '2']",[],,N,Humanities,active,1,,1 semester,Y,['MW'],"['13:10-14:30', 'TBD']","['VOLLUM 302', 'ONLINE']","[['Monday', '1310', '1430', 'VOLLUM 302'], ['Wednesday', '1310', '1430', 'VOLLUM 302']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30861,Priority for this course is given to students in the major.,ART 282 S,Sculpture in Expanded Field,[],[],"Ondrizek, Gerri",['1'],[],,N,Art,active,1,,1 semester,N,['MW'],['13:10-16:00'],['ART 102'],"[['Monday', '1310', '1600', 'ART 102'], ['Wednesday', '1310', '1600', 'ART 102']]",,N,In-Person Instruction Only
Spring 2024,31331,,BIOL 431 S04,Sem: Genome Evolution,[],[],"Schaack, Sarah",['3'],[],,N,Biology,active,0.5,,1 semester,N,['Tu'],['15:10-16:30'],['BIOL 200A'],"[['Tuesday', '1510', '1630', 'BIOL 200A']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30660,,CHEM 324 S,Adv Physical Organic Chem,[],[],"Campillo-Alvarado, Gonzalo",['3'],[],,N,Chemistry,active,1,,1 semester,N,['TuTh'],['13:40-15:00'],['CHEM 301'],"[['Tuesday', '1340', '1500', 'CHEM 301'], ['Thursday', '1340', '1500', 'CHEM 301']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30868,,LITC 325 S,Songs to Lost Music: Ci-Poetry,['CHIN 325'],['30867'],"Rhew, Hyong",['1'],['Chinese Studies'],,N,Lit - Eng Translation-Chinese,active,1,,1 semester,N,['MWF'],['14:40-15:30'],['ELIOT 126'],"[['Monday', '1440', '1530', 'ELIOT 126'], ['Wednesday', '1440', '1530', 'ELIOT 126'], ['Friday', '1440', '1530', 'ELIOT 126']]","any students, new students",N,In-Person Instruction Only
Spring 2024,31010,,CSCI 387 S02,Computability & Complexity,['MATH 387'],['31011'],Staff,['3'],[],,N,Computer Science,cancelled,,,1 semester,N,,,,,,In-Person Instruction Only
Spring 2024,30196,"Each section of DANC 101 is offered as either academic credit (one-half unit), or as PE credit. (To register for PE credit, do not register for this section of DANC 101, and register for BOTH quarters of the appropriate PE course).

To qualify for one-half unit of academic credit, students must have taken or be currently enrolled in a graded (not a credit/no credit) dance department course; each graded dance department course taken allows a student to earn credit for up to two semesters in Dance 101.",DANC 101 ST1,Tango I - II,[],[],"Fortuna, Victoria",[],[],,N,Dance,active,0.5,,1 semester,Y,['TuTh'],['15:10-16:30'],['GRNWD MAIN'],"[['Tuesday', '1510', '1630', 'GRNWD MAIN'], ['Thursday', '1510', '1630', 'GRNWD MAIN']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30957,"Each section of DANC 101 is offered as either academic credit (one-half unit), or as PE credit. (To register for PE credit, do not register for this section of DANC 101, and register for BOTH quarters of the appropriate PE course).

To qualify for one-half unit of academic credit, students must have taken or be currently enrolled in a graded (not a credit/no credit) dance department course; each graded dance department course taken allows a student to earn credit for up to two semesters in Dance 101.",DANC 101 SB1,Ballet I-II,[],[],"Fortuna, Victoria",[],[],,N,Dance,active,0.5,,1 semester,Y,['MW'],['18:10-19:30'],['PERF 240'],"[['Monday', '1810', '1930', 'PERF 240'], ['Wednesday', '1810', '1930', 'PERF 240']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30018,,SOC 470 Y,Thesis (Sociology),[],[],Staff,[],[],,Y,Sociology,active,1,,Year-long,N,[],['TBD'],[],[],"any students, new students",N,N/A
Spring 2024,31148,,RTHE 470 Y,Thesis(Religion-Theatre),[],[],Staff,[],[],,Y,Religion/Theatre,active,1,,Year-long,N,[],['TBD'],[],[],"any students, new students",N,N/A
Spring 2024,30099,,CHEM 102 SL3,Chemical Reactivity: Lab,[],[],"Poletti, Patrick","['3', '3+']",[],,N,Chemistry,active,0,,1 semester,N,['Tu'],['13:40-16:30'],['CHEM 308'],"[['Tuesday', '1340', '1630', 'CHEM 308']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30726,,CHEM 202 S03,Organic Chemistry II,[],[],"McGhee, Alicia","['3', '3+']",['Environmental Studies'],,N,Chemistry,active,1,,1 semester,N,['MWF'],['11:00-11:50'],['TRL 150'],"[['Monday', '1100', '1150', 'TRL 150'], ['Wednesday', '1100', '1150', 'TRL 150'], ['Friday', '1100', '1150', 'TRL 150']]",,N,In-Person Instruction Only
Spring 2024,30096,,ECON 314 S,Macroeconomic Theory,[],[],"Cottle Hunt, Erin",['2'],[],,N,Economics,active,1,,1 semester,N,['TuTh'],['15:10-16:30'],['LIB 203'],"[['Tuesday', '1510', '1630', 'LIB 203'], ['Thursday', '1510', '1630', 'LIB 203']]","any students, new students",N,In-Person Instruction Only
Spring 2024,30971,"This section is for PE credit only, for one quarter only. Students must register for both quarters, (the entire semester):  both PE 103 and PE 104. 
To register for academic credit, do not register for these PE sections, and instead register for the appropriate academic section from the Dance course listings. Students may not register for BOTH academic and PE credit.",PE 103 313 Qtr 1,Contemp Dance V: PE Credit,[],[],"Parsons-Akinjiola, Oluyinka",[],[],,N,Physical Education,active,0,1,1st quarter,N,['MW'],['13:10-14:30'],['PERF 240'],"[['Monday', '1310', '1430', 'PERF 240'], ['Wednesday', '1310', '1430', 'PERF 240']]","any students, new students",N,In-Person Instruction Only
